kpk;per;pemployee;pcompany;ptotal;dfrom
148;ΜΟΡΦΩΤΙΚΕΣ ΟΡΓΑΝΩΣΕΙΣ ΠΟΥ ΕΧΟΥΝ ΠΟΡΟΥΣ ΑΠΟ ΙΔΙΩΤΙΚΕΣ ΕΙΣΦΟΡΕΣ ΑΜΕΡΙΚΑΝΩΝ;16,82;24,94;41,76;1/1/2025
149;ΑΣΘΕΝΕΙΑ ΣΕ ΧΡΗΜΑ ΠΡΟΣΩΠΙΚΟΥ Τ. ΤΑΠ - ΟΤΕ ΤΟΥ Τ. ΤΑΥΤΕΚΩ (5) ΕΜΜΕΣΑ ΜΕΛΗ;1,65;0,25;1,90;1/1/2017
150;ΑΣΘΕΝΕΙΑ ΣΕ ΧΡΗΜΑ ΠΡΟΣΩΠΙΚΟΥ ΤΟΥ Τ. ΤΑΠ - ΟΤΕ ΤΟΥ Τ. ΤΑΥΤΕΚΩ (6) ΕΜΜΕΣΑ ΜΕΛΗ;1,90;0,25;2,15;1/1/2017
151;ΟΡΚΩΤΟΙ  ΛΟΓΙΣΤΕΣ;20,00;0,00;20,00;1/10/2003
154;ΣΥΝΤΑΞΗ, ΑΣΘΕΝΕΙΑ, ΕΤΕΑΕΠ (ΧΩΡΙΣ ΣΥΝΕΙΣΠΡΑΤΤΟΜΕΝΑ);11,72;20,38;32,10;1/1/2025
156;ΣΥΝΤΑΞΗ,ΑΣΘΕΝΕΙΑ, ΒΑΡΕΑ, ΕΤΕΑΕΠ (ΧΩΡΙΣ ΣΥΝΕΙΣΠΡΑΤΤΟΜΕΝΑ);15,17;22,53;37,70;1/1/2025
157;ΣΥΝΤΑΞΗ,ΑΣΘΕΝΕΙΑ, ΒΑΡΕΑ, ΕΤΕΑΕΠ,Ε.Κ. (ΧΩΡΙΣ ΣΥΝΕΙΣΠΡΑΤΤΟΜΕΝΑ) ;15,17;23,53;38,70;1/1/2025
158;ΣΥΝΤΑΞΗ, ΑΣΘΕΝΕΙΑ ΧΩΡΙΣ ΣΥΝΕΙΣΠΡΑΤΤΟΜΕΝΑ;8,72;17,38;26,10;1/1/2025
176;ΑΝΕΡΓΟΙ  ΝΑΥΤΙΚΟΙ ΠΡΑΚΤΟΡΕΣ / ΑΥΤ/ΣΤΕΣ;0,00;5,45;5,45;1/1/2025
178;ΤΑΚΤΙΚΟΙ ΥΠΑΛΛΗΛΟΙ ΟΣΕ;1,65;1,41;3,06;1/1/2021
179;ΛΑΧΕΙΟΠΩΛΕΣ;11,72;0,00;11,72;1/1/2025
184;ΕΥΔΑΠ;11,32;18,74;30,06;1/6/2022
195;ΠΡΟΝΟΙΑ ΠΡΟΣΩΠΙΚΟΥ ΟΣΕ ΤΟΥ Τ. ΤΑΥΤΕΚΩ - ΕΙΣΦΟΡΕΣ ΧΟΡΗΓΟΥΜΕΝΟΥ ΕΠΙΔΟΜΑΤΟΣ ΑΔΕΙΑΣ;3,000;2,250;5,250;1/12/2013
210;ΕΡΓΑΖΟΜΕΝΟΙ ΦΟΙΤΗΤΕΣ κ.α Ε.Κ;0,00;1,00;1,00;1/10/2003
211;ΕΠΙΔΟΤΗΣΗ ΑΝΕΡΓΙΑΣ ΟΑΕΔ;0,00;1,3625;1,3625;1/1/2025
213;ΙΕΡΟΔΟΥΛΕΣ;32,10;0,00;32,10;1/1/2025
224;ΕΠΙΔΟΜΑ ΜΗΤΡΟΤΗΤΑΣ ΟΑΕΔ;6,67;13,33;20,00;1/10/2003
225;ΕΠΙΔΟΤΟΥΜΕΝΑ ΠΡΟΓΡ. ΟΑΕΔ Ε.Κ;0,00;6,45;6,45;1/1/2025
241;ΠΡΟΣΩΠΙΚΟ ΕΡΓΑΤΟΫΠΑΛΛΗΛΙΚΩΝ ΕΠΑΓΓΕΛΜΑΤΙΚΩΝ ΟΡΓΑΝΩΣΕΩΝ Τ.ΤΕΑΕΥΕΕΟ;3,00;3,00;6,00;1/6/2022
242;ΠΡΟΣΩΠΙΚΟ ΕΡΓΑΤΟΫΠΑΛΛΗΛΙΚΩΝ ΕΠΑΓΓΕΛΜΑΤΙΚΩΝ ΟΡΓΑΝΩΣΕΩΝ Τ.ΤΕΑΕΥΕΕΟ;4,25;3,75;8,00;1/6/2022
251;ΕΡΓΑΖΟΜΕΝΟΙ ΣΤΟΝ Ο.Λ.Π. Α.Ε.;15,27;23,74;39,01;1/1/2025
252;ΕΡΓΑΖΟΜΕΝΟΙ ΣΤΟΝ Ο.Λ.Π. Α.Ε.;15,27;22,74;38,01;1/1/2025
254;ΕΡΓΑΖΟΜΕΝΟΙ ΣΤΟΝ Ο.Λ.Π. Α.Ε.;11,82;21,59;33,41;1/1/2025
256;ΕΡΓΑΖΟΜΕΝΟΙ ΣΤΟΝ Ο.Λ.Π. Α.Ε.;9,77;17,54;27,31;1/6/2022
268;ΑΣΘΕΝΕΙΑ ΓΙΑ ΠΑΡΟΧΗ ΣΕ ΕΙΔΟΣ ΠΡΟΣΩΠΙΚΟΥ ΤΟΥ Τ. ΤΑΑΠΤΠΓΑΕ ΤΟΥ Τ. Τ.Α.Υ.Τ.Ε.Κ.Ω. (1,375%);3,025;3,800;6,825;1/1/2025
269;ΑΣΘΕΝΕΙΑ ΓΙΑ ΠΑΡΟΧΗ ΣΕ ΧΡΗΜΑ ΠΡΟΣΩΠΙΚΟΥ  Τ. ΤΑΑΠΤΠΓΑΕ ΤΟΥ Τ. Τ.Α.Υ.Τ.Ε.Κ.Ω. (1,375%);1,775;0,250;2,025;1/1/2017
270;ΑΣΘΕΝΕΙΑ ΓΙΑ ΠΑΡΟΧΗ ΣΕ ΕΙΔΟΣ ΠΡΟΣΩΠΙΚΟΥ  Τ. ΤΑΠΟΤΕ ΤΟΥ Τ. Τ.Α.Υ.Τ.Ε.Κ.Ω.  (7) ΕΜΜΕΣΑ ΜΕΛΗ;3,400;3,800;7,200;1/1/2025
271;ΑΣΘΕΝΕΙΑ ΓΙΑ ΠΑΡΟΧΗ ΣΕ ΕΙΔΟΣ ΠΡΟΣΩΠΙΚΟΥ  Τ. ΤΑΠΟΤΕ ΤΟΥ Τ. Τ.Α.Υ.Τ.Ε.Κ.Ω.  (8) ΕΜΜΕΣΑ ΜΕΛΗ;3,650;3,800;7,450;1/1/2025
272;ΑΣΘΕΝΕΙΑ ΣΕ ΧΡΗΜΑ ΠΡΟΣΩΠΙΚΟΥ  Τ. ΤΑΠ - ΟΤΕ ΤΟΥ Τ. ΤΑΥΤΕΚΩ (7) ΕΜΜΕΣΑ ΜΕΛΗ;2,150;0,250;2,400;1/1/2017
273;ΑΣΘΕΝΕΙΑ ΣΕ ΧΡΗΜΑ ΠΡΟΣΩΠΙΚΟΥ Τ. ΤΑΠ - ΟΤΕ ΤΟΥ Τ. ΤΑΥΤΕΚΩ (8) ΕΜΜΕΣΑ ΜΕΛΗ;2,400;0,250;2,650;1/1/2017
371;ΜΙΣΘΩΤOI ΥΓΕΙΟΝΟΜΙΚOI ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020;17,37;21,79;39,16;1/1/2025
372;ΜΙΣΘΩΤOI ΥΓΕΙΟΝΟΜΙΚΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΠΑΓΓΕΛΜΑΤΙΚΟ ΚΙΝΔΥΝΟ;17,37;22,79;40,16;1/1/2025
373;ΜΙΣΘΩΤΟΙ ΥΓΕΙΟΝΟΜΙΚΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΞΑΙΡΕΣΗ ΑΣΘΕΝΕΙΑΣ ΣΕ  ΕΙΔΟΣ ΚΑΙ ΧΡΗΜΑ;15,32;17,74;33,06;1/6/2022
374;ΜΙΣΘΩΤΟΙ ΥΓΕΙΟΝΟΜΙΚΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΠΑΓΓΕΛΜΑΤΙΚΟ ΚΙΝΔΥΝΟ ΜΕ ΕΞΑΙΡΕΣΗ ΑΣΘΕΝΕΙΑΣ ΣΕ ΕΙΔΟΣ ΚΑΙ ΧΡΗΜΑ;15,32;18,74;34,06;1/6/2022
377;ΜΙΣΘΩΤΟΙ ΥΓΕΙΟΝΟΜΙΚΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΞΑΙΡΕΣΗ ΕΠΙΚΟΥΡΙΚΗΣ ΑΣΦΑΛΙΣΗΣ;14,37;18,79;33,16;1/1/2025
378;ΜΙΣΘΩΤΟΙ ΥΓΕΙΟΝΟΜΙΚΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΠΑΓΓΕΛΜΑΤΙΚΟ ΚΙΝΔΥΝΟ  ΜΕ ΕΞΑΙΡΕΣΗ ΕΠΙΚΟΥΡΙΚΗΣ ΑΣΦΑΛΙΣΗΣ;14,37;19,79;34,16;1/1/2025
379;ΜΙΣΘΩΤOI ΥΓΕΙΟΝΟΜΙΚΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΞΑΙΡΕΣΗ ΠΡΟΝΟΙΑΣ;13,37;21,79;35,16;1/1/2025
380;ΜΙΣΘΩΤOI ΥΓΕΙΟΝΟΜΙΚΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΠΑΓΓΕΛΜΑΤΙΚΟ ΚΙΝΔΥΝΟ ΜΕ ΕΞΑΙΡΕΣΗ ΠΡΟΝΟΙΑΣ;13,37;22,79;36,16;1/1/2025
381;ΜΙΣΘΩΤΟΙ ΥΓΕΙΟΝΟΜΙΚΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΞΑΙΡΕΣΗ ΥΓΕΙΟΝΟΜΙΚΗΣ  ΠΕΡΙΘΑΛΨΗΣ ΕΠΙΚΟΥΡΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΠΡΟΝΟΙΑΣ;8,32;14,74;23,06;1/1/2021
382;ΜΙΣΘΩΤΟΙ ΥΓΕΙΟΝΟΜΙΚΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΠΑΓΓΕΛΜΑΤΙΚΟ  ΚΙΝΔΥΝΟ ΜΕ ΕΞΑΙΡΕΣΗ ΥΓΕΙΟΝΟΜΙΚΗΣ ΠΕΡΙΘΑΛΨΗΣ ΕΠΙΚΟΥΡΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΠΡΟΝΟΙΑΣ;8,32;15,74;24,06;1/1/2021
383;ΜΙΣΘΩΤΟΙ ΥΓΕΙΟΝΟΜΙΚΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΞΑΙΡΕΣΗ ΕΠΙΚΟΥΡΙΚΗΣ  ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΠΡΟΝΟΙΑΣ;10,37;18,79;29,16;1/1/2025
384;ΜΙΣΘΩΤΟΙ ΥΓΕΙΟΝΟΜΙΚΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΠΑΓΓΕΛΜΑΤΙΚΟ  ΚΙΝΔΥΝΟ ΜΕ ΕΞΑΙΡΕΣΗ ΕΠΙΚΟΥΡΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΠΡΟΝΟΙΑΣ;10,37;19,79;30,16;1/1/2025
402;ΕΚΤΑΚΤΟ ΙΠΤΑΜΕΝΟ ΠΡΟΣΩΠΙΚΟ Υ.Π.Α.;13,37;22,79;36,16;1/1/2025
413;ΠΡΟΣΩΠΙΚΟ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΕΚΤΟΣ Ο.Α. & ΑΕΡΟΠΛΟΪΑΣ (ΙΠΤΑΜΕΝΟ ΠΡΟΣΩΠΙΚΟ);10,37;19,79;30,16;1/1/2025
416;ΠΡΟΣΩΠΙΚΟ  ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΕΚΤΟΣ Ο.Α & ΑΕΡΟΠΛΟΪΑΣ (ΤΕΧΝΙΚΟ ΠΡΟΣΩΠΙΚΟ ΕΔΑΦΟΥΣ) ΠΑΛΑΟΙ ΑΣΦ/ΝΟΙ;10,37;18,79;29,16;1/1/2025
417;ΠΡΟΣΩΠΙΚΟ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΕΚΤΟΣ Ο.Α. & ΑΕΡΟΠΛΟΙΑΣ (ΤΕΧΝΙΚΟ ΠΡΟΣΩΠΙΚΟ ΕΔΑΦΟΥΣ) ΠΑΛΑΟΙ ΑΣΦ/ΝΟΙ (Ε.Κ.);10,37;19,79;30,16;1/1/2025
418;ΠΡΟΣΩΠΙΚΟ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΕΚΤΟΣ Ο.Α. & ΑΕΡΟΠΛΟΪΑΣ (ΤΕΧΝΙΚΟ ΠΡΟΣΩΠΙΚΟ ΕΔΑΦΟΥΣ);8,32;14,74;23,06;1/1/2021
419;ΠΡΟΣΩΠΙΚΟ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΕΚΤΟΣ Ο.Α. & ΑΕΡΟΠΛΟΪΑΣ (ΤΕΧΝΙΚΟ ΠΡΟΣΩΠΙΚΟ ΕΔΑΦΟΥΣ);8,32;15,74;24,06;1/1/2021
422;ΠΡΟΣΩΠΙΚΟ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΕΚΤΟΣ Ο.Α. & ΑΕΡΟΠΛΟΪΑΣ (ΠΡΟΣΩΠΙΚΟ ΕΔΑΦΟΥΣ);10,37;18,79;29,16;1/1/2025
423;ΠΡΟΣΩΠΙΚΟ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΕΚΤΟΣ Ο.Α. & ΑΕΡΟΠΛΟΪΑΣ (ΠΡΟΣΩΠΙΚΟ ΕΔΑΦΟΥΣ);10,37;19,79;30,16;1/1/2025
424;ΠΡΟΣΩΠΙΚΟ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΕΚΤΟΣ Ο.Α. & ΑΕΡΟΠΛΟΪΑΣ (ΠΡΟΣΩΠΙΚΟ ΕΔΑΦΟΥΣ);8,32;14,74;23,06;1/1/2021
425;ΠΡΟΣΩΠΙΚΟ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΕΚΤΟΣ Ο.Α. & ΑΕΡΟΠΛΟΪΑΣ (ΠΡΟΣΩΠΙΚΟ ΕΔΑΦΟΥΣ);8,32;15,74;24,06;1/1/2021
428;ΠΤΥΧΙΟΥΧΟΙ ΧΕΙΡΙΣΤΕΣ ΑΕΡΟΣΚΑΦΩΝ ΑΠΑΣΧΟΛΟΥΜΕΝΟΙ ΣΕ ΟΠΟΙΟΝΔΗΠΟΤΕ ΑΛΛΟ ΕΡΓΟΔΟΤΗ Ε.Κ. (ΕΚΤΟΣ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧ/ΣΕΩΝ);13,37;22,79;36,16;1/1/2025
429;ΠΤΥΧΙΟΥΧΟΙ ΧΕΙΡΙΣΤΕΣ ΑΕΡΟΣΚΑΦΩΝ ΑΠΑΣΧΟΛΟΥΜΕΝΟΙ ΣΕ ΟΠΟΙΟΝΔΗΠΟΤΕ ΑΛΛΟ ΕΡΓΟΔΟΤΗ Ε.Κ  (ΕΚΤΟΣ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧ/ΣΕΩΝ);11,32;18,74;30,06;1/6/2022
431;ΠΤΥΧΙΟΥΧΟΙ ΧΕΙΡΙΣΤΕΣ ΑΕΡΟΣΚΑΦΩΝ ΑΠΑΣΧΟΛΟΥΜΕΝΟΙ ΣΕ ΟΠΟΙΟΝΔΗΠΟΤΕ ΑΛΛΟ ΕΡΓΟΔΟΤΗ Ε.Κ.  (ΕΚΤΟΣ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧ/ΣΕΩΝ);10,37;19,79;30,16;1/1/2025
435;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΠΡΟΣΩΠΙΚΟ ΚΑΘΑΡΙΟΤΗΤΑΣ Ο.Τ.Α.;18,92;26,24;45,16;1/1/2025
437;ΠΡΟΣΩΠΙΚΟ ΚΑΘΑΡΙΟΤΗΤΑΣ Ο.Τ.Α. ;16,87;22,19;39,06;1/6/2022
441;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΠΡΟΣΩΠΙΚΟ ΚΑΘΑΡΙΟΤΗΤΑΣ Ο.Τ.Α.;14,67;22,49;37,16;1/1/2025
446;ΗΘΟΠΟΙΟΙ ΜΕΛΟΔΡΑΜΑΤΙΚΟΥ ΘΕΑΤΡΟΥ ΜΟΥΣΙΚΟΙ ΠΝΕΥΣΤΩΝ ΟΡΓΑΝΩΝ ΧΟΡΕΥΤΕΣ - ΧΟΡΕΥΤΡΙΕΣ;13,37;21,79;35,16;1/1/2025
447;ΗΘΟΠΟΙΟΙ ΜΕΛΟΔΡΑΜΑΤΙΚΟΥ ΘΕΑΤΡΟΥ ΜΟΥΣΙΚΟΙ ΠΝΕΥΣΤΩΝ ΟΡΓΑΝΩΝ ΧΟΡΕΥΤΕΣ - ΧΟΡΕΥΤΡΙΕΣ;11,32;17,74;29,06;1/6/2022
449;ΗΘΟΠΟΙΟΙ ΜΕΛΟΔΡΑΜΑΤΙΚΟΥ ΘΕΑΤΡΟΥ ΜΟΥΣΙΚΟΙ ΠΝΕΥΣΤΩΝ ΟΡΓΑΝΩΝ ΧΟΡΕΥΤΕΣ - ΧΟΡΕΥΤΡΙΕΣ;10,37;18,79;29,16;1/1/2025
454;ΑΠΑΣΧΟΛΟΥΜΕΝΟΙ ΣΤΙΣ ΥΠΟΓΕΙΕΣ ΣΤΟΕΣ, ΕΝΑΕΡΙΕΣ / ΥΠΟΘΑΛΑΣΣΙΕΣ  ΕΡΓΑΣΙΕΣ & ΕΞΟΡΥΞΗ ΑΜΙΑΝΤΟΥ ;14,67;22,49;37,16;1/1/2025
456;ΑΠΑΣΧΟΛΟΥΜΕΝΟΙ ΣΤΙΣ ΥΠΟΓΕΙΕΣ ΣΤΟΕΣ, ΕΝΑΕΡΙΕΣ / ΥΠΟΘΑΛΑΣΣΙΕΣ  ΕΡΓΑΣΙΕΣ & ΕΞΟΡΥΞΗ ΑΜΙΑΝΤΟΥ ;18,67;27,49;46,16;1/1/2025
458;ΑΠΑΣΧΟΛΟΥΜΕΝΟΙ ΣΤΙΣ ΥΠΟΓΕΙΕΣ ΣΤΟΕΣ, ΕΝΑΕΡΙΕΣ / ΥΠΟΘΑΛΑΣΣΙΕΣ  ΕΡΓΑΣΙΕΣ & ΕΞΟΡΥΞΗ ΑΜΙΑΝΤΟΥ Ε.Κ;16,62;23,44;40,06;1/6/2022
461;ΗΘΟΠΟΙΟΙ ΘΕΑΤΡΟΥ ΠΡΟΖΑΣ & ΜΟΥΣΙΚΟΥ ΘΕΑΤΡΟΥ, ΥΠΟΒΟΛΕΙΣ, ΜΟΥΣΙΚΟΙ ΕΓΧΟΡΔΩΝ & ΚΡΟΥΣΤΩΝ ΟΡΓΑΝΩΝ, ΤΕΧΝΙΚΟΙ ΘΕΑΤΡΟΥ, ΠΡΟΣΩΠΙΚΟ ΣΚΗΝΗΣ;13,37;21,79;35,16;1/1/2025
462;ΗΘΟΠΟΙΟΙ ΘΕΑΤΡΟΥ ΠΡΟΖΑΣ & ΜΟΥΣΙΚΟΥ ΘΕΑΤΡΟΥ, ΥΠΟΒΟΛΕΙΣ, ΜΟΥΣΙΚΟΙ ΕΓΧΟΡΔΩΝ & ΚΡΟΥΣΤΩΝ ΟΡΓΑΝΩΝ, ΤΕΧΝΙΚΟΙ ΘΕΑΤΡΟΥ, ΠΡΟΣΩΠΙΚΟ ΣΚΗΝΗΣ;11,32;17,74;29,06;1/6/2022
465;ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΑΠΑΣΧΟΛΟΥΜΕΝΟΙ ΣΤΙΣ ΥΠΟΓΕΙΕΣ ΣΤΟΕΣ, ΕΝΑΕΡΙΕΣ / ΥΠΟΘΑΛΑΣΣΙΕΣ ΕΡΓΑΣΙΕΣ & ΕΞΟΡΥΞΗ ΑΜΙΑΝΤΟΥ Ε.Κ;18,67;27,49;46,16;1/1/2025
467;ΑΠΑΣΧΟΛΟΥΜΕΝΟΙ ΣΤΙΣ ΥΠΟΓΕΙΕΣ ΣΤΟΕΣ,ΕΝΑΕΡΙΕΣ / ΥΠΟΘΑΛΑΣΣΙΕΣ ΕΡΓΑΣΙΕΣ & ΕΞΟΡΥΞΗ  ΑΜΙΑΝΤΟΥ;16,62;23,44;40,06;1/6/2022
473;ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΑΠΑΣΧΟΛΟΥΜΕΝΟΙ ΣΤΙΣ ΥΠΟΓΕΙΕΣ ΣΤΟΕΣ, ΕΝΑΕΡΙΕΣ / ΥΠΟΘΑΛΑΣΣΙΕΣ ΕΡΓΑΣΙΕΣ & ΕΞΟΡΥΞΗ ΑΜΙΑΝΤΟΥ Ε.Κ;14,67;22,49;37,16;1/1/2025
474;ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ-ΗΘΟΠΟΙΟΙ-ΜΟΥΣΙΚΟΙ-ΧΟΡΕΥΤΕΣ ΚΑΙ ΠΡΟΣΩΠΙΚΟ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ;10,37;18,79;29,16;1/1/2025
475;ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΙΠΤΑΜΕΝΟ ΠΡΟΣΩΠΙΚΟ ΥΠΑ, ΠΤΥΧΙΟΥΧΟΙ ΧΕΙΡΙΣΤΕΣ ΑΕΡΟΣΚΑΦΩΝ ΑΠΑΣΧΟΛΟΥΜΕΝΟΙ ΣΕ ΟΠΟΙΟΝΔΗΠΟΤΕ ΆΛΛΟ ΕΡΓΟΔΟΤΗ ΚΑΙ ΠΡΟΣΩΠΙΚΟ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧEΙΡΗΣΕΩΝ;10,37;19,79;30,16;1/1/2025
476;ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ-ΠΡΟΣΩΠΙΚΟ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΕΚΤΟΣ Ο.Α. & ΑΕΡΟΠΛΟΪΑΣ;8,32;14,74;23,06;1/1/2021
477;ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΙΠΤΑΜΕΝΟ ΠΡΟΣΩΠΙΚΟ ΥΠΑ, ΠΤΥΧΙΟΥΧΟΙ ΧΕΙΡΙΣΤΕΣ ΑΕΡΟΣΚΑΦΩΝ ΑΠΑΣΧΟΛΟΥΜΕΝΟΙ ΣΕ ΟΠΟΙΟΝΔΗΠΟΤΕ ΆΛΛΟ ΕΡΓΟΔΟΤΗ ΚΑΙ ΠΡΟΣΩΠΙΚΟ ΑΕΡΟΠΟΡΙΚΩΝ ΕΠΙΧ.;8,32;15,74;24,06;1/1/2021
480;ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΗΘΟΠΟΙΟΙ, ΜΟΥΣΙΚΟΙ, ΧΟΡΕΥΤΕΣ;13,37;21,79;35,16;1/1/2025
481;ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΠΡΟΣΩΠΙΚΟ ΚΑΘΑΡΙΟΤΗΤΑΣ Ο.Τ.Α;16,82;24,94;41,76;1/1/2025
482;ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΗΘΟΠΟΙΟΙ, ΜΟΥΣΙΚΟΙ, ΧΟΡΕΥΤΕΣ;11,32;17,74;29,06;1/6/2022
483; ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΠΡΟΣΩΠΙΚΟ ΚΑΘΑΡΙΟΤΗΤΑΣ Ο.Τ.Α;14,77;20,89;35,66;1/6/2022
499;ΤΗΣ ΠΑΡ.9 ΤΟΥ ΑΡ.39 ΤΟΥ Ν.4387/16, ΓΙΑ ΤΟΝ ΚΛΑΔΟ ΠΡΟΝΟΙΑΣ ΑΠΟ 1/1/2019;4,00;0,00;4,00;1/1/2019
561;ΑΣΘΕΝΕΙΑ ΣΕ ΕΙΔΟΣ ΠΡΟΣΩΠΙΚΟΥ Τ. ΤΑΠ-ΟΤΕ / Τ. ΤΑΑΠΤΠΓΑΕ  ΤΟΥ Τ. ΤΑΥΤΕΚΩ (0,25%);1,900;3,800;5,700;1/1/2025
562;ΑΣΘΕΝΕΙΑ ΣΕ ΕΙΔΟΣ ΠΡΟΣΩΠΙΚΟΥ Τ. ΤΑΠ-ΟΤΕ / Τ. ΤΑΑΠΤΠΓΑΕ  ΤΟΥ Τ. ΤΑΥΤΕΚΩ (0,50%);2,150;3,800;5,950;1/1/2025
563;ΑΣΘΕΝΕΙΑ ΣΕ ΕΙΔΟΣ ΠΡΟΣΩΠΙΚΟΥ Τ. ΤΑΠ-ΟΤΕ /Τ. ΤΑΑΠΤΠΓΑΕ  ΤΟΥ Τ. ΤΑΥΤΕΚΩ (0,75%);2,400;3,800;6,200;1/1/2025
564;ΑΣΘΕΝΕΙΑ ΣΕ ΕΙΔΟΣ ΠΡΟΣΩΠΙΚΟΥ Τ. ΤΑΠ-ΟΤΕ / Τ. ΤΑΑΠΤΠΓΑΕ ΤΟΥ Τ. ΤΑΥΤΕΚΩ (1%) ;2,650;3,800;6,450;1/1/2025
565;ΑΣΘΕΝΕΙΑ ΓΙΑ ΠΑΡΟΧΗ ΣΕ ΕΙΔΟΣ ΠΡΟΣΩΠΙΚΟΥ Τ.ΤΑΥΤΕΚΩ;1,650;3,800;5,450;1/1/2025
566;ΑΣΘΕΝΕΙΑ ΣΕ ΧΡΗΜΑ ΠΡΟΣΩΠΙΚΟΥ Τ. ΤΑΠ-ΟΤΕ ΤΟΥ Τ. ΤΑΥΤΕΚΩ (1) ΕΜΜΕΣΟ ΜΕΛΟΣ;0,650;0,250;0,900;1/1/2017
567;ΑΣΘΕΝΕΙΑ ΣΕ ΧΡΗΜΑ ΠΡΟΣΩΠΙΚΟΥ Τ. ΤΑΠ-ΟΤΕ ΤΟΥ Τ. ΤΑΥΤΕΚΩ (2) ΕΜΜΕΣΑ ΜΕΛΗ;0,900;0,250;1,150;1/1/2017
568;ΑΣΘΕΝΕΙΑ ΣΕ ΧΡΗΜΑ ΠΡΟΣΩΠΙΚΟΥ Τ. ΤΑΠ-ΟΤΕ ΤΟΥ Τ. ΤΑΥΤΕΚΩ (3) ΕΜΜΕΣΑ ΜΕΛΗ;1,150;0,250;1,400;1/1/2017
